EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
0.95,59.5,1.4,HOU,W,@IND,-3.0,CHI,-7.0,@MIN,-4.0,JAX,-3.5,BUF,-1.5,@NE,-4.5,@GB,2.0,IND,-4.0,@NYJ,2.0,DET,-1.5,@DAL,2.5,TEN,-6.5,@JAX,1.0,BYE,,MIA,-2.5,@KC,4.0,BAL,1.5,@TEN,-3.0,0.44888769394006
0.94,58.5,1.5,LAC,W,LV,-3.0,@CAR,-6.5,@PIT,2.5,KC,4.0,BYE,,@DEN,-3.0,@ARI,1.0,NO,-3.5,@CLE,4.0,TEN,-4.0,CIN,2.0,BAL,3.0,@ATL,3.0,@KC,6.5,TB,-3.0,DEN,-4.5,@NE,-3.0,@LV,-1.0,0.30944980935296
0.92,57.2,0.9,KC,W,BAL,-3.0,CIN,-6.0,@ATL,-3.5,@LAC,-4.0,NO,-8.0,BYE,,@SF,1.5,@LV,-5.5,TB,-7.5,DEN,-9.5,@BUF,-1.0,@CAR,-7.5,LV,-7.5,LAC,-6.5,@CLE,-2.5,HOU,-4.0,@PIT,-5.5,@DEN,-4.0,1.0
0.89,54.8,0.2,CLE,L,DAL,-2.0,@JAX,3.5,NYG,-6.5,@LV,-2.0,@WSH,-3.5,@PHI,3.0,CIN,1.0,BAL,1.0,LAC,-4.0,BYE,,@NO,-2.5,PIT,-3.0,@DEN,-3.5,@PIT,0.0,KC,2.5,@CIN,4.0,MIA,-2.0,@BAL,4.5,0.28910889256054
0.87,54.3,0.7,PHI,W,GB,-2.0,ATL,-6.5,@NO,-3.0,@TB,-3.0,BYE,,CLE,-3.0,@NYG,-5.0,@CIN,2.5,JAX,-4.0,@DAL,1.5,WSH,-7.0,@LAR,1.0,@BAL,3.5,CAR,-8.0,PIT,-4.5,@WSH,-3.5,DAL,-2.5,NYG,-5.0,0.6717783977433
0.82,51.1,1.0,MIN,W,@NYG,-1.0,SF,6.0,HOU,4.0,@GB,5.0,NYJ,4.0,BYE,,DET,3.5,@LAR,4.0,IND,-1.0,@JAX,4.0,@TEN,0.0,@CHI,3.5,ARI,-2.0,ATL,1.0,CHI,1.0,@SEA,3.0,GB,2.5,@DET,5.5,0.025043433439526
0.79,48.9,0.6,NYG,L,MIN,1.0,@WSH,1.5,@CLE,6.5,DAL,4.5,@SEA,3.5,CIN,5.5,PHI,5.0,@PIT,4.5,WSH,-1.5,CAR,-1.5,BYE,,TB,1.0,@DAL,8.5,NO,-1.0,BAL,6.5,@ATL,5.0,IND,2.0,@PHI,5.0,0.023264347010896
0.74,45.7,0.1,GB,L,PHI,2.0,IND,3.0,@TEN,-3.5,MIN,-5.0,@LAR,1.5,ARI,-5.0,HOU,-2.0,@JAX,-1.0,DET,-1.5,BYE,,@CHI,0.0,SF,2.5,MIA,-3.0,@DET,3.0,@SEA,-1.0,NO,-5.5,@MIN,-2.5,CHI,-3.5,0.36604968172138
0.73,45.2,0.5,DAL,W,@CLE,2.0,NO,-6.5,BAL,-1.0,@NYG,-4.5,@PIT,-2.0,DET,-1.0,BYE,,@SF,5.5,@ATL,-1.0,PHI,-1.5,HOU,-2.5,@WSH,-3.5,NYG,-8.5,CIN,-1.5,@CAR,-6.0,TB,-5.0,@PHI,2.5,WSH,-5.5,0.57360756051439
0.7,42.8,0.2,BAL,L,@KC,3.0,LV,-10.0,@DAL,1.0,BUF,-3.0,@CIN,1.5,WSH,-8.5,@TB,-4.5,@CLE,-1.0,DEN,-10.5,CIN,-3.0,@PIT,-3.0,@LAC,-3.0,PHI,-3.5,BYE,,@NYG,-6.5,PIT,-6.0,@HOU,-1.5,CLE,-4.5,0.78745925475727
0.68,41.5,0.1,LV,L,@LAC,3.0,@BAL,10.0,CAR,-4.5,CLE,2.0,@DEN,1.5,PIT,1.0,@LAR,5.0,KC,5.5,@CIN,7.0,BYE,,@MIA,6.5,DEN,-2.5,@KC,7.5,@TB,3.0,ATL,1.0,JAX,1.0,@NO,3.0,LAC,1.0,0.085623110126245
0.66,40.5,0.1,IND,L,HOU,3.0,@GB,-3.0,CHI,-2.0,PIT,-1.5,@JAX,2.0,@TEN,-1.5,MIA,1.5,@HOU,4.0,@MIN,1.0,BUF,2.5,@NYJ,4.0,DET,2.5,@NE,-3.5,BYE,,@DEN,-2.5,TEN,-4.0,@NYG,-2.0,JAX,-2.0,0.21703099266697
0.66,36.6,0.1,CAR,L,@NO,3.5,LAC,6.5,@LV,4.5,CIN,6.0,@CHI,5.5,ATL,3.5,@WSH,3.0,@DEN,2.5,NO,1.0,NYG,1.5,BYE,,KC,7.5,TB,2.0,@PHI,8.0,DAL,6.0,ARI,1.0,@TB,5.5,@ATL,6.5,0.0
0.63,37.9,0.0,JAX,L,@MIA,3.5,CLE,-3.5,@BUF,3.5,@HOU,3.5,IND,-2.0,CHI,-1.5,NE,-6.5,GB,1.0,@PHI,4.0,MIN,-4.0,@DET,4.0,BYE,,HOU,-1.0,@TEN,-1.5,NYJ,1.0,@LV,-1.0,TEN,-4.0,@IND,2.0,0.24941269359387
0.62,23.2,0.1,NE,W,@CIN,7.5,SEA,3.5,@NYJ,7.0,@SF,12.0,MIA,4.5,HOU,4.5,JAX,6.5,NYJ,4.5,@TEN,3.5,@CHI,6.0,LAR,4.5,@MIA,7.5,IND,3.5,BYE,,@ARI,4.0,@BUF,9.0,LAC,3.0,BUF,3.5,0.0
0.61,36.4,0.1,WSH,L,@TB,4.0,NYG,-1.5,@CIN,7.0,@ARI,3.0,CLE,3.5,@BAL,8.5,CAR,-3.0,CHI,2.5,@NYG,1.5,PIT,1.5,@PHI,7.0,DAL,3.5,TEN,-1.5,BYE,,@NO,3.0,PHI,3.5,ATL,2.5,@DAL,5.5,0.061794916495954
0.6,35.6,0.1,TEN,L,@CHI,4.0,NYJ,3.5,GB,3.5,@MIA,6.5,BYE,,IND,1.5,@BUF,7.5,@DET,7.5,NE,-3.5,@LAC,4.0,MIN,0.0,@HOU,6.5,@WSH,1.5,JAX,1.5,CIN,4.0,@IND,4.0,@JAX,4.0,HOU,3.0,0.033238796906775
0.59,35.7,0.2,PIT,W,@ATL,4.0,@DEN,-3.0,LAC,-2.5,@IND,1.5,DAL,2.0,@LV,-1.0,NYJ,1.0,NYG,-4.5,BYE,,@WSH,-1.5,BAL,3.0,@CLE,3.0,@CIN,5.5,CLE,0.0,@PHI,4.5,@BAL,6.0,KC,5.5,CIN,1.0,0.11806997766425
0.59,35.0,0.1,NYJ,L,@SF,4.0,@TEN,-3.5,NE,-7.0,DEN,-7.5,MIN,-4.0,BUF,-1.5,@PIT,-1.0,@NE,-4.5,HOU,-2.0,@ARI,-3.0,IND,-4.0,BYE,,SEA,-4.5,@MIA,2.5,@JAX,-1.0,LAR,-3.0,@BUF,2.5,MIA,-3.0,0.57272097855695
0.57,28.8,0.1,DEN,L,@SEA,6.5,PIT,3.0,@TB,4.5,@NYJ,7.5,LV,-1.5,LAC,3.0,@NO,4.0,CAR,-2.5,@BAL,10.5,@KC,9.5,ATL,3.0,@LV,2.5,CLE,3.5,BYE,,IND,2.5,@LAC,4.5,@CIN,8.5,KC,4.0,0.020969774627466
0.56,34.0,0.0,LAR,L,@DET,4.5,@ARI,1.5,SF,4.5,@CHI,1.5,GB,-1.5,BYE,,LV,-5.0,MIN,-4.0,@SEA,-1.5,MIA,-1.0,@NE,-4.5,PHI,-1.0,@NO,-1.5,BUF,1.0,@SF,7.0,@NYJ,3.0,ARI,-6.0,SEA,-5.5,0.34352952252252
0.55,27.7,0.1,ARI,L,@BUF,6.5,LAR,-1.5,DET,4.0,WSH,-3.0,@SF,9.5,@GB,5.0,LAC,-1.0,@MIA,6.5,CHI,1.5,NYJ,3.0,BYE,,@SEA,3.0,@MIN,2.0,SEA,-1.0,NE,-4.0,@CAR,-1.0,@LAR,6.0,SF,4.0,0.10343640225947
