EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
0.89,59.5,2.1,SEA,W,@IND,-3.0,TEN,-5.0,@MIN,1.0,@SF,3.5,LAR,-1.5,@PIT,1.5,NO,-3.5,JAX,-8.0,BYE,,@GB,3.5,ARI,-4.0,@WAS,-2.0,SF,-1.5,@HOU,-7.5,@LAR,4.0,CHI,-6.0,DET,-9.5,@ARI,1.5,0.44605357078082
0.89,62.4,10.0,CAR,W,NYJ,-3.5,NO,3.5,@HOU,-4.0,@DAL,5.5,PHI,-3.0,MIN,-2.0,@NYG,3.0,@ATL,3.5,NE,0.5,@ARI,6.0,WAS,-0.5,@MIA,5.0,BYE,,ATL,-3.5,@BUF,9.5,TB,6.5,@NO,6.5,@TB,7.5,0.11470780948976
0.87,58.1,2.7,MIN,L,@CIN,-3.0,@ARI,4.5,SEA,-1.0,CLE,1.0,DET,-8.0,@CAR,2.0,BYE,,DAL,-2.5,@BAL,6.5,@LAC,3.0,GB,-2.5,@SF,6.5,@DET,-4.0,PIT,-3.0,@CHI,-1.0,LAR,2.5,@GB,3.5,CHI,-4.0,0.23631427823936
0.86,57.0,1.5,DEN,W,@NYG,-3.0,@JAX,-6.0,NYJ,-6.5,BAL,3.0,@PIT,4.0,LV,-4.0,@CLE,7.0,WAS,-3.0,@DAL,4.0,PHI,-6.0,BYE,,LAC,-2.0,@KC,9.5,DET,-7.5,CIN,-6.5,@LV,1.5,@LAC,3.5,KC,3.5,0.37554559823373
0.86,57.0,1.4,TEN,L,ARI,-2.5,@SEA,5.0,IND,-2.0,@NYJ,-4.0,@JAX,-3.5,BUF,2.0,KC,3.5,@IND,3.0,@LAR,4.5,NO,-3.0,HOU,-10.5,@NE,2.0,BYE,,JAX,-7.0,@PIT,3.0,SF,1.5,MIA,-3.5,@HOU,-6.5,0.36261993564795
0.84,54.8,0.4,WAS,L,LAC,-2.5,NYG,-3.5,@BUF,7.0,@ATL,1.5,NO,0.5,KC,6.0,@GB,4.5,@DEN,3.0,BYE,,TB,6.0,@CAR,0.5,SEA,2.0,@LV,1.5,DAL,-2.0,@PHI,0.5,@DAL,4.0,PHI,-4.0,@NYG,0.5,0.093517440544064
0.69,45.2,0.7,LAC,W,@WAS,2.5,DAL,-3.0,@KC,7.0,LV,-4.5,CLE,1.5,@BAL,5.0,BYE,,NE,-3.0,@PHI,-3.0,MIN,-3.0,PIT,-3.0,@DEN,2.0,@CIN,-3.0,NYG,-6.5,KC,5.0,@HOU,-6.0,DEN,-3.5,@LV,0.5,0.33356558933669
0.66,43.0,0.1,ARI,W,@TEN,2.5,MIN,-4.5,@JAX,-3.0,@LAR,5.0,SF,1.5,@CLE,4.5,HOU,-10.5,GB,-2.5,@SF,5.0,CAR,-6.0,@SEA,4.0,BYE,,@CHI,-1.5,LAR,2.5,@DET,-6.0,IND,-1.5,@DAL,3.0,SEA,-1.5,0.32080551027882
0.66,43.0,0.3,NYG,L,DEN,3.0,@WAS,3.5,ATL,-2.5,@NO,6.0,@DAL,6.0,LAR,4.0,CAR,-3.0,@KC,10.0,LV,-1.5,BYE,,@TB,10.0,PHI,-3.0,@MIA,4.0,@LAC,6.5,DAL,1.5,@PHI,2.0,@CHI,3.0,WAS,-0.5,0.084642409015924
0.65,41.9,0.1,CIN,W,MIN,3.0,@CHI,3.0,@PIT,6.5,JAX,-2.5,GB,4.0,@DET,0.5,@BAL,10.0,@NYJ,1.5,CLE,5.5,BYE,,@LV,5.0,PIT,3.5,LAC,3.0,SF,4.0,@DEN,6.5,BAL,6.5,KC,7.5,@CLE,7.5,0.017908220803944
0.64,37.6,0.1,NYJ,L,@CAR,3.5,NE,5.5,@DEN,6.5,TEN,4.0,ATL,3.5,BYE,,@NE,7.0,CIN,-1.5,@IND,8.5,BUF,7.0,MIA,3.5,@HOU,-1.0,PHI,-1.0,NO,3.5,@MIA,7.0,JAX,-1.5,TB,8.0,@BUF,8.0,0.032457532604646
0.63,40.5,0.0,IND,L,SEA,3.0,LAR,4.0,@TEN,2.0,@MIA,1.5,@BAL,4.0,HOU,-11.0,@SF,4.5,TEN,-3.0,NYJ,-8.5,JAX,-7.5,@BUF,5.0,TB,1.5,@HOU,-7.0,BYE,,NE,-4.0,@ARI,1.5,LV,-6.0,@JAX,-3.5,0.46653899378561
0.61,38.5,0.3,HOU,W,JAX,3.5,@CLE,12.5,CAR,4.0,@BUF,14.0,NE,6.5,@IND,11.0,@ARI,10.5,LAR,8.0,@MIA,8.0,BYE,,@TEN,10.5,NYJ,1.0,IND,7.0,SEA,7.5,@JAX,5.0,LAC,6.0,@SF,13.5,TEN,6.5,0.0
0.59,38.2,0.2,MIA,W,@NE,3.5,BUF,3.0,@LV,-1.0,IND,-1.5,@TB,7.0,JAX,-3.0,ATL,-4.0,@BUF,7.0,HOU,-8.0,BAL,3.0,@NYJ,-3.5,CAR,-5.0,NYG,-4.0,BYE,,NYJ,-7.0,@NO,3.5,@TEN,3.5,NE,-2.5,0.36888470223203
0.58,37.8,0.2,LV,W,BAL,3.5,@PIT,5.5,MIA,1.0,@LAC,4.5,CHI,-3.5,@DEN,4.0,PHI,-3.5,BYE,,@NYG,1.5,KC,7.0,CIN,-5.0,@DAL,5.0,WAS,-1.5,@KC,10.5,@CLE,7.0,DEN,-1.5,@IND,6.0,LAC,-0.5,0.14150696671791
0.58,37.2,0.0,NO,W,GB,4.0,@CAR,-3.5,@NE,6.0,NYG,-6.0,@WAS,-0.5,BYE,,@SEA,3.5,TB,3.0,ATL,-6.0,@TEN,3.0,@PHI,-3.5,BUF,2.0,DAL,-3.5,@NYJ,-3.5,@TB,7.0,MIA,-3.5,CAR,-6.5,@ATL,-0.5,0.34856600730567
0.58,37.8,0.3,PHI,W,@ATL,3.5,SF,3.5,@DAL,6.5,KC,7.5,@CAR,3.0,TB,7.0,@LV,3.5,@DET,-1.0,LAC,3.0,@DEN,6.0,NO,3.5,@NYG,3.0,@NYJ,1.0,BYE,,WAS,-0.5,NYG,-2.0,@WAS,4.0,DAL,3.0,0.021141676321755
0.52,32.2,0.0,CLE,L,@KC,5.5,HOU,-12.5,CHI,-7.0,@MIN,-1.0,@LAC,-1.5,ARI,-4.5,DEN,-7.0,PIT,-4.5,@CIN,-5.5,@NE,-1.5,DET,-10.0,@BAL,3.5,BYE,,BAL,-3.0,LV,-7.0,@GB,2.5,@PIT,1.0,CIN,-7.5,0.64489779770266
0.48,21.8,0.1,DET,L,SF,10.0,@GB,11.0,BAL,6.5,@CHI,6.0,@MIN,8.0,CIN,-0.5,@LAR,11.0,PHI,1.0,BYE,,@PIT,7.5,@CLE,10.0,CHI,3.5,MIN,4.0,@DEN,7.5,ARI,6.0,@ATL,7.0,@SEA,9.5,GB,4.5,0.0016192154532481
0.48,23.6,0.0,CHI,L,@LAR,8.5,CIN,-3.0,@CLE,7.0,DET,-6.0,@LV,3.5,GB,3.0,@TB,9.5,SF,4.0,@PIT,5.0,BYE,,BAL,3.5,@DET,-3.5,ARI,1.5,@GB,6.5,MIN,1.0,@SEA,6.0,NYG,-3.0,@MIN,4.0,0.12744384654031
0.46,28.7,0.1,PIT,W,@BUF,6.5,LV,-5.5,CIN,-6.5,@GB,3.0,DEN,-4.0,SEA,-1.5,BYE,,@CLE,4.5,CHI,-5.0,DET,-7.5,@LAC,3.0,@CIN,-3.5,BAL,2.5,@MIN,3.0,TEN,-3.0,@KC,8.0,CLE,-1.0,@BAL,5.5,0.3399984793364
0.37,21.2,0.1,DAL,L,@TB,9.5,@LAC,3.0,PHI,-6.5,CAR,-5.5,NYG,-6.0,@NE,2.5,BYE,,@MIN,2.5,DEN,-4.0,ATL,-6.0,@KC,7.5,LV,-5.0,@NO,3.5,@WAS,2.0,@NYG,-1.5,WAS,-4.0,ARI,-3.0,@PHI,-3.0,0.39907269749053
