EV,W_pct,P_pct,Team,Team_Result,1,1_spread,2,2_spread,3,3_spread,4,4_spread,5,5_spread,6,6_spread,7,7_spread,8,8_spread,9,9_spread,10,10_spread,11,11_spread,12,12_spread,13,13_spread,14,14_spread,15,15_spread,16,16_spread,17,17_spread,18,18_spread,Future_Val
0.85,54.2,0.2,MIN,W,GB,-2.5,@PHI,1.0,DET,-7.0,NO,-0.5,CHI,-7.0,@MIA,3.0,BYE,,ARI,-2.5,@WAS,-1.0,@BUF,7.5,DAL,-1.5,NE,-3.0,NYJ,-7.0,@DET,-3.5,IND,-1.5,NYG,-7.0,@GB,6.0,@CHI,-3.0,0.43912699601681
0.84,54.0,1.4,BUF,W,@LAR,-2.5,TEN,-10.0,@MIA,-3.5,@BAL,-1.5,PIT,-9.5,@KC,-0.5,BYE,,GB,-4.0,@NYJ,-7.5,MIN,-7.5,CLE,-6.5,@DET,-9.5,@NE,-3.5,NYJ,-11.5,MIA,-7.0,@CHI,-7.5,@CIN,-1.5,NE,-7.5,1.0
0.82,52.8,1.4,CAR,L,CLE,-1.0,@NYG,2.5,NO,2.0,ARI,2.5,SF,3.0,@LAR,9.5,TB,6.0,@ATL,-1.0,@CIN,7.5,ATL,-5.0,@BAL,7.0,DEN,3.0,BYE,,@SEA,1.0,PIT,0.5,DET,-3.5,@TB,10.0,@NO,4.5,0.097827704059707
0.75,47.2,0.3,CLE,W,@CAR,1.0,NYJ,-6.0,PIT,-4.0,@ATL,-5.0,LAC,3.0,NE,-3.0,@BAL,3.5,CIN,-2.0,BYE,,@MIA,0.5,@BUF,6.5,TB,2.5,@HOU,-7.5,@CIN,3.0,BAL,-1.5,NO,-3.5,@WAS,-3.0,@PIT,-2.0,0.38441963238618
0.72,46.0,0.9,LAR,L,BUF,2.5,ATL,-10.5,@ARI,-1.5,@SF,1.0,DAL,-4.0,CAR,-9.5,BYE,,SF,-4.0,@TB,3.0,ARI,-6.0,@NO,-3.0,@KC,3.0,SEA,-11.0,LV,-5.0,@GB,1.5,DEN,-3.0,@LAC,2.5,@SEA,-7.0,0.64064091765099
0.71,45.8,0.6,GB,L,@MIN,2.5,CHI,-10.0,@TB,3.5,NE,-6.0,NYG,-7.5,NYJ,-10.0,@WAS,-4.0,@BUF,4.0,@DET,-6.5,DAL,-4.0,TEN,-5.0,@PHI,0.5,@CHI,-5.5,BYE,,LAR,-1.5,@MIA,-1.5,MIN,-6.0,DET,-10.0,0.79612112416787
0.71,45.4,0.2,DAL,L,TB,2.5,CIN,7.5,@NYG,-3.5,WAS,-6.5,@LAR,4.0,@PHI,1.5,DET,-7.5,CHI,-8.0,BYE,,@GB,4.0,@MIN,1.5,NYG,-7.5,IND,-2.5,HOU,-9.5,@JAX,-3.5,PHI,-3.0,@TEN,1.5,@WAS,-2.0,0.55903765044223
0.66,40.9,0.5,JAX,L,@WAS,3.0,IND,4.0,@LAC,10.0,@PHI,7.5,HOU,-4.0,@IND,8.0,NYG,-2.0,DEN,6.5,LV,3.5,@KC,10.5,BYE,,BAL,4.5,@DET,2.5,@TEN,7.0,DAL,3.5,@NYJ,2.0,@HOU,-1.5,TEN,3.5,0.079705759665555
0.65,41.0,0.2,NE,L,@MIA,3.0,@PIT,-1.0,BAL,0.5,@GB,6.0,DET,-6.5,@CLE,3.0,CHI,-6.5,@NYJ,-3.0,IND,-0.5,BYE,,NYJ,-7.0,@MIN,3.0,BUF,3.5,@ARI,3.0,@LV,3.0,CIN,0.5,MIA,-2.0,@BUF,7.5,0.25465251190678
0.58,37.0,0.2,LV,L,@LAC,3.5,ARI,-6.0,@TEN,2.5,DEN,-0.5,@KC,6.0,BYE,,HOU,-9.5,@NO,1.5,@JAX,-3.5,IND,-2.0,@DEN,4.0,@SEA,-3.0,LAC,0.5,@LAR,5.0,NE,-3.0,@PIT,-2.0,SF,1.5,KC,3.0,0.27914377967779
0.58,31.8,0.1,NYG,W,@TEN,5.5,CAR,-2.5,DAL,3.5,CHI,-3.5,GB,7.5,BAL,4.0,@JAX,2.0,@SEA,1.5,BYE,,HOU,-4.0,DET,-2.5,@DAL,7.5,WAS,-1.0,PHI,3.0,@WAS,3.5,@MIN,7.0,IND,3.5,@PHI,5.5,0.1242793093309
0.57,29.1,0.2,NYJ,L,BAL,6.5,@CLE,6.0,CIN,5.0,@PIT,4.5,MIA,3.0,@GB,10.0,@DEN,9.5,NE,3.0,BUF,7.5,BYE,,@NE,7.0,CHI,-3.0,@MIN,7.0,@BUF,11.5,DET,-1.5,JAX,-2.0,@SEA,1.5,@MIA,7.5,0.051127228743442
0.55,33.1,0.2,ATL,L,NO,6.0,@LAR,10.5,@SEA,3.5,CLE,5.0,@TB,12.0,SF,6.5,@CIN,10.5,CAR,1.0,LAC,7.5,@CAR,5.0,CHI,-1.5,@WAS,6.0,PIT,3.0,BYE,,@NO,7.0,@BAL,9.5,ARI,5.0,TB,8.0,0.0081594101141169
0.55,30.3,0.1,SEA,W,DEN,6.0,@SF,10.0,ATL,-3.5,@DET,3.0,@NO,7.0,ARI,3.0,@LAC,9.5,NYG,-1.5,@ARI,8.0,@TB,10.5,BYE,,LV,3.0,@LAR,11.0,CAR,-1.0,SF,4.5,@KC,11.5,NYJ,-1.5,LAR,7.0,0.071812903550777
0.54,28.4,0.0,HOU(tie),,IND,7.0,@DEN,10.0,@CHI,4.0,LAC,8.5,@JAX,4.0,BYE,,@LV,9.5,TEN,6.0,PHI,6.5,@NYG,4.0,WAS,3.0,@MIA,8.0,CLE,7.5,@DAL,9.5,KC,10.5,@TEN,9.0,JAX,1.5,@IND,9.5,0.0
0.52,31.5,0.1,DET,L,PHI,5.5,WAS,-2.0,@MIN,7.0,SEA,-3.0,@NE,6.5,BYE,,@DAL,7.5,MIA,3.0,GB,6.5,@CHI,2.0,@NYG,2.5,BUF,9.5,JAX,-2.5,MIN,3.5,@NYJ,1.5,@CAR,3.5,CHI,-3.0,@GB,10.0,0.079569554354889
0.51,31.8,0.0,ARI,L,KC,6.0,@LV,6.0,LAR,1.5,@CAR,-2.5,PHI,-2.0,@SEA,-3.0,NO,-3.0,@MIN,2.5,SEA,-8.0,@LAR,6.0,SF,1.5,LAC,1.5,BYE,,NE,-3.0,@DEN,4.0,TB,1.5,@ATL,-5.0,@SF,3.0,0.26652478894556
0.5,28.7,0.1,CHI,W,SF,6.5,@GB,10.0,HOU,-4.0,@NYG,3.5,@MIN,7.0,WAS,0.5,@NE,6.5,@DAL,8.0,MIA,3.5,DET,-2.0,@ATL,1.5,@NYJ,3.0,GB,5.5,BYE,,PHI,3.5,BUF,7.5,@DET,3.0,MIN,3.0,0.062450695022447
0.46,26.5,0.2,PIT,W,@CIN,7.5,NE,1.0,@CLE,4.0,NYJ,-4.5,@BUF,9.5,TB,5.0,@MIA,4.5,@PHI,5.0,BYE,,NO,-1.0,CIN,3.0,@IND,6.0,@ATL,-3.0,BAL,3.0,@CAR,-0.5,LV,2.0,@BAL,6.5,CLE,2.0,0.081846595874238
